name	created	released	status	source	title
05THEHAGUE1876	2005	2011	SECRET	Embassy The Hague	NETHERLANDS:  TOUR D'HORIZON WITH FOREIGN MINISTER 
04MADRID1187	2004	2010	CONFIDENTIAL	Embassy Madrid	ZAPATERO AND SPANISH TROOPS IN IRAQ: POLITICAL 
09STATE64609	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE 
09PRETORIA954	2009	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Pretoria	PART 3 OF 3:  THE LIFE AND TIMES OF SOUTH AFRICA?S 
08REYKJAVIK240	2008	2011	CONFIDENTIAL	Embassy Reykjavik	Foreign Minister Expected to Ask the Secretary for 
08PARIS957	2008	2010	SECRET	Embassy Paris	YOUR JUNE 14-16 VISIT TO PARIS 
08TRIPOLI688	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	QADHAFI, BERLUSCONI SIGN HISTORIC AGREEMENT 
09PARIS1046	2009	2010	CONFIDENTIAL//NOFORN	Embassy Paris	IRAN: EU DIPLOMATS TO ATTEND AHMADINEJAD 
08BRASILIA43	2008	2010	SECRET//NOFORN	Embassy Brasilia	COUNTERTERRORISM IN BRAZIL: LOOKING BEYOND THE 
09LONDON2676	2009	2011	UNCLASSIFIED	Embassy London	IMO: 14TH SESSION OF THE DANGEROUS GOODS, SOLID 
08BRASILIA129	2008	2010	CONFIDENTIAL	Embassy Brasilia	BRAZILIAN DEFENSE MINISTER ON DCA, TRIP TO FRANCE AND RUSSIA, CIVIL AVIATION 
06CARACAS958	2006	2010	SECRET//NOFORN	Embassy Caracas	EXPLAINING VENEZUELA'S COZINESS WITH IRAN, 
08REYKJAVIK223	2008	2011	CONFIDENTIAL	Embassy Reykjavik	ICELANDIC CENTRAL BANK ASSERTS RUSSIAN LOAN IS 95 PERCENT 
08HAVANA460	2008	2011	CONFIDENTIAL	US Interests Section Havana	VISIT TO CUBA OF BRAZILIAN FOREIGN MINISTER AMORIM 
09OUAGADOUGOU1159	2009	2010	CONFIDENTIAL	Embassy Ouagadougou	GUINEA TALKS - 9th ICG-G IN OUAGADOUGOU 
09TRIPOLI293	2009	2011	UNCLASSIFIED	Embassy Tripoli	x
09KABUL1651	2009	2010	CONFIDENTIAL	Embassy Kabul	06/23/09 MEETING, ASSISTANT AMB MUSSOMELI AND MOI 
10TRIPOLI90	2010	2011	CONFIDENTIAL	Embassy Tripoli	LIBYA/NPT: FOLLOW-UP TRILATERAL DEMARCHE DELIVERED REF: A) STATE 7931; B) TRIPOLI 46; C) STATE 5942; D) STATE 4457
09TRIPOLI563	2009	2011	CONFIDENTIAL	Embassy Tripoli	AU SUMMIT: A/S CARSON'S MEETING WITH SPANISH MINISTER OF STATE FOR AFRICAN AFFAIRS CLASSIFIED BY: Gene A. Cretz, Ambassador, US Embassy Tripoli, Department of State. REASON: 1.4 (b), (d)
09TRIPOLI621	2009	2011	SECRET//NOFORN	Embassy Tripoli	RARE MEETING WITH LIBYAN ATOMIC ENERGY CHIEF LEAVES KEY LEAVES KEY QUESTIONS UNANSWERED REF: A) TRIPOLI 437; B) STATE 74778; C) TRIPOLI 436; D) TRIPOLI 599 TRIPOLI 00000621 001.2 OF 002 CLASSIFIED BY: Gene Cretz, Ambassador, U.S. Embassy Tripoli, Department of State. REASON: 1.4 (b), (d)
10STATE9584	2010	2011	UNCLASSIFIED	Secretary of State	U.S.-EU SECOND STAGE AIR TRANSPORT NEGOTIATIONS 
08ANKARA1643	2008	2010	CONFIDENTIAL	Embassy Ankara	TURKEY: CHARITY FUND SCANDAL PROMPTS PM ERDOGAN
09BRASILIA1262	2009	2010	CONFIDENTIAL	Embassy Brasilia	x
07ABUDHABI1479	2007	2011	SECRET	Embassy Abu Dhabi	SCENE SETTER FOR ADMIRAL FALLON'S SEPTEMBER VISIT 
09ISLAMABAD236	2009	2010	SECRET	Embassy Islamabad	SCENESETTER FOR SPECIAL ENVOY HOLBROOKE 
09STATE106226	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE - 382 AND 99204 THRU 
05SAOPAULO1158	2005	2010	CONFIDENTIAL	Consulate Sao Paulo	CONVERSATION WITH JOSE DIRCEU, OCTOBER 9, 2005 
05TELAVIV6669	2005	2011	CONFIDENTIAL	Embassy Tel Aviv	ISA CHIEF DISKIN VIEWS RAFAH AS TEST CASE
09BRASILIA1447	2009	2010	CONFIDENTIAL	Embassy Brasilia	WHA A/S VALENZUELA RECEIVED BY EAGER BRAZILIAN GOVERNMENT 
09LONDON2596	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	PADDY ASHDOWN ON WAY FORWARD IN AFGHANISTAN 
10BUENOSAIRES71	2010	2010	CONFIDENTIAL	Embassy Buenos Aires	Argentina: Saber Rattling over Oil Exploration in the
04VATICAN3196	2004	2010	CONFIDENTIAL	Embassy Vatican	VATICAN STILL OPEN TO TURKEY?S EU BID 
09MOSCOW2747	2009	2010	SECRET//NOFORN	Embassy Moscow	RUSSIA:  POLISH PM SIKORSKI REOPENS OLD FIGHTS
09MONTREAL80	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Consulate Montreal	ICAO COUNCIL CAUTIONS DPRK ON CIVAIR SAFETY AND SECURITY, 
09TRIPOLI477	2009	2011	CONFIDENTIAL	Embassy Tripoli	UKRAINIAN PRIME MINISTER'S VISIT TO TRIPOLI CLASSIFIED BY: Gene Cretz, Ambassador, U.S. Embassy Tripoli, U.S. Department of State. REASON: 1.4 (b), (d)
07TRIPOLI949	2007	2011	CONFIDENTIAL	Embassy Tripoli	SLOW PROGRESS ON ITALY-LIBYA COLONIAL COMPENSATION TREATY A 
06REYKJAVIK118	2006	2011	CONFIDENTIAL	Embassy Reykjavik	ICELAND: 3/30-3/31 TALKS SET STAGE FOR NEW 
06BRASILIA2532	2006	2010	CONFIDENTIAL	Embassy Brasilia	UPDATE ON LEGACY PILOTS 
07MONTEVIDEO287	2007	2010	SECRET	Embassy Montevideo	EX-GUERRILLA'S INVOLVEMENT IN US BUSINESS DEAL
09RIYADH1667	2009	2010	SECRET//NOFORN	Embassy Riyadh	SITREP ON SAUDI MILITARY OPERATIONS AGAINST THE 
07MADRID753	2007	2010	CONFIDENTIAL	Embassy Madrid	SPANISH ENCOURAGE LONGER MINURSO RENEWAL
09TRIPOLI482	2009	2011	CONFIDENTIAL	Embassy Tripoli	RUSSIAN NSC DELEGATION TO VISIT LIBYA JUNE 22-24 
09TRIPOLI64	2009	2011	CONFIDENTIAL	Embassy Tripoli	AL-QADHAFI: THE PHILOSOPHER-KING KEEPS HIS HAND IN  
10RPODUBAI15	2010	2010	CONFIDENTIAL//NOFORN	Iran RPO Dubai	IRAN DOMESTIC POLITICS: 'FROM CRISIS TO STALEMATE' (2/3) 
09REYKJAVIK200	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	INTERNATIONAL MARITIME ORGANIZATION - DELIVERY OF DEMARCHE 
09BEIJING2932	2009	2010	CONFIDENTIAL	Embassy Beijing	PRC/IRAN: PREMIER WEN PUSHES RAHIMI ON DIALOGUE; 
09DJIBOUTI1425	2009	2011	SECRET	Embassy Djibouti	x
08PARIS130	2008	2010	UNCLASSIFIED	Embassy Paris	PRESIDENT SARKOZY ARTICULATES HIS FRAMEWORK FOR 
10VATICAN14	2010	2010	CONFIDENTIAL	Embassy Vatican	VATICAN OFFICIAL ON CUBA RELATIONS WITH EU AND U.S.
09TRIPOLI134	2009	2011	CONFIDENTIAL	Embassy Tripoli	AL-QADHAFI'S AFRICAN UNION: OBSTACLES TO SUCCESS, 
06BRASILIA2425	2006	2010	CONFIDENTIAL	Embassy Brasilia	BRAZIL: DEMARCHE ON LEGACY PILOTS DELIVERED 
08CAIRO1637	2008	2010	CONFIDENTIAL	Embassy Cairo	CODEL KERRY MEETING WITH PRESIDENT MUBARAK 
07REYKJAVIK247	2007	2011	CONFIDENTIAL	Embassy Reykjavik	ICELAND: EXERCISE NORTHERN VIKING, 
07TRIPOLI967	2007	2011	CONFIDENTIAL	Embassy Tripoli	GROWTH OF RESOURCE NATIONALISM IN LIBYA 
09REYKJAVIK13	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND: PROTESTS CONTINUE; WILL SOCIAL DEMOCRATS STAY IN 
09ADDISABABA1318	2009	2010	SECRET	Embassy Addis Ababa	UNDERSTANDING THE ETHIOPIAN HARDLINERS 
08TRIPOLI204	2008	2011	CONFIDENTIAL	Embassy Tripoli	ENGAGING THE ARAB MAGHREB UNION 
08TRIPOLI923	2008	2011	CONFIDENTIAL	Embassy Tripoli	GOL SEEKS TO TURN THE PAGE ON LINGERING HUMAN RIGHTS ISSUES 
10BERLIN81	2010	2011	CONFIDENTIAL	Embassy Berlin	x
10ADDISABABA163	2010	2010	CONFIDENTIAL	Embassy Addis Ababa	UNDER SECRETARY OTERO?S MEETING WITH ETHIOPIAN 
08REYKJAVIK135	2008	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND UNDECIDED ON UNIVERSAL POSTAL UNION CONGRESS 
04BRASILIA1938	2004	2010	CONFIDENTIAL	Embassy Brasilia	INTERAGENCY DELEGATION DISCUSSES INFORMATION-SHARING REGARDING BRAZIL'S SHOOTDOWN PROGRAM (CORRECTED COPY) 
09BRASILIA41	2009	2010	CONFIDENTIAL	Embassy Brasilia	THE FX2 COMPETITION -- THE GLIDEPATH TO SUCCESS
09RIODEJANEIRO365	2009	2010	CONFIDENTIAL	Consulate Rio De Janeiro	RIO WEIGHS OPTIONS FOR NEXT FAVELA PACIFICATION 
05THEHAGUE789	2005	2011	SECRET	Embassy The Hague	SCENESETTER FOR DEPUTY SECRETARY ZOELLICK'S APRIL 
09STOCKHOLM64	2009	2010	SECRET	Embassy Stockholm	x
08PARIS1616	2008	2010	CONFIDENTIAL	Embassy Paris	TFGG01: FRENCH VIEW OSCE MONITORS IN GEORGIA AS 
10YEREVAN82	2010	2011	UNCLASSIFIED	Embassy Yerevan	DISTRACTED DRIVING DEMARCHE 
10STATE18163	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE - 99561 THRU 99582 
09ISLAMABAD1152	2009	2010	SECRET	Embassy Islamabad	U.S. REMOVAL OF PAKISTAN RESEARCH REACTOR FUEL ON 
08TELAVIV1005	2008	2010	SECRET	Embassy Tel Aviv	SCENESETTER FOR PRESIDENT BUSH'S VISIT TO ISRAEL 
09STATE77662	2009	2010	CONFIDENTIAL//NOFORN	Secretary of State	(U) KUDOS FOR POLITICAL REPORTING (C-AL9-01632) 
08BAKU815	2008	2010	CONFIDENTIAL	Embassy Baku	BP BRIEFS SENATOR LUGAR ON CASPIAN ENERGY 
09AMMAN1689	2009	2010	SECRET	Embassy Amman	JORDANIAN SOCCER GAME HALTED AMIDST ANTI-REGIME 
08LONDON2960	2008	2011	CONFIDENTIAL//NOFORN	Embassy London	AFGHAN NATIONAL ARMY - UK WILL CONTRIBUTE TO 
04BAGHDAD4	2004	2011	CONFIDENTIAL	Embassy Baghdad	USEB 003: LETTER ON AGREMENT FROM MINISTER OF
09MOSCOW1273	2009	2010	SECRET//NOFORN	Embassy Moscow	ITALIAN-RUSSIAN RELATIONS (C-RE8-02675) 
07TELAVIV1732	2007	2010	SECRET	Embassy Tel Aviv	ISA CHIEF DISKIN ON SITUATION IN THE GAZA STRIP 
10STATE13894	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	x
10TRIPOLI56	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	LIBYA SENDS HUMANITARIAN ASSISTANCE TO HAITI REF: STATE 4854
09LONDON2784	2009	2011	UNCLASSIFIED	Embassy London	LETTER FROM ARCHBISHOP DESMOND TUTU TO THE SECRETARY REGARDING THE SUDAN
04WELLINGTON611	2004	2010	CONFIDENTIAL	Embassy Wellington	NEW ZEALAND PRAISED BY ISLAMIC RESISTANCE MOVEMENT 
06BRASILIA478	2006	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Brasilia	SCENESETTER FOR THE VISIT OF CODEL GRASSLEY 
07MOSCOW4599	2007	2010	CONFIDENTIAL	Embassy Moscow	ZHIRINOVSKIY?S NEW SIDEMAN:  LUGOVOY 
07ANKARA648	2007	2010	CONFIDENTIAL	Embassy Ankara	THE TRUTH BEHIND THE AKP'S "SECRET ISLAMIC AGENDA" 
09LONDON1989	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	UK'S ASSISTANCE STRATEGY - CUT POVERTY, ADDRESS 
08REYKJAVIK1	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND: PRESIDENT GRIMSSON ANNOUNCES HIS RE-ELECTION BID 
07REYKJAVIK337	2007	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND MEDIA ROUNDUP: MEDIA FIRESTORM OVER DEPORTATION 
09STATE47326	2009	2010	SECRET//NOFORN	Secretary of State	(SBU)  QUESTIONS ON REMOVAL OF ANTI-AMERICAN 
09SAOPAULO663	2009	2011	CONFIDENTIAL//NOFORN	Consulate Sao Paulo	x
10ISLAMABAD399	2010	2010	CONFIDENTIAL	Embassy Islamabad	CODEL KERRY?S MEETING WITH PM GILANI 
07ABUDHABI145	2007	2010	SECRET	Embassy Abu Dhabi	GENERAL ABIZAID TALKS IRAN, IRAQ, AFGHANISTAN WITH 
08BRASILIA987	2008	2010	CONFIDENTIAL	Embassy Brasilia	BRAZIL: MOVING FORWARD WITH BRAZILIAN AIR FORCE ON SHOOTDOWN 
08REYKJAVIK127	2008	2011	CONFIDENTIAL	Embassy Reykjavik	CLOSING OUT THE ICELAND AIR DEFENSE SYSTEM TRANSFER 
07ISLAMABAD1583	2007	2010	SECRET//NOFORN	Embassy Islamabad	MUSHARRAF TELLS MCCAIN: DON?T PULL OUT OF IRAQ 
09BRASILIA224	2009	2011	CONFIDENTIAL	Embassy Brasilia	BRAZIL: U/S FOR POLITICAL AFFAIRS ON UPCOMING CLINTON-AMORIM, OBAMA-LULA MEETINGS 
04BRASILIA623	2004	2010	SECRET	Embassy Brasilia	BRAZIL: CJCS MEETING WITH INSTITUTIONAL SECURITY MINISTER FELIX, 10 MARCH 2004 
09TRIPOLI320	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	TRIPOLI RESPONSE TO FY09 PROHIBITION ON ASSISTANCE TO CENTRAL GOVERNMENTS WHOSE BUDGETS ARE NOT TRANSPARENT REF: STATE 00028885 (SBU) This is a response to the request for information on the transparency of Libya's budget. Replies are keyed to reftel: -Is the central government expected to receive or is it already receiving U.S. foreign assistance funding using FY 09 funds? Answer: Yes. -Is the host country's budget publicly available? Answer: Libya's overall budget figures are available online and in print media, mainly in official news articles with quotes from government officials. However, more precise budget details, such as expenditures by sector, are not readily available. -Are incomes and expenditures included in the publicly-available budget? Answer: The overall expenditures are included in the publicly-available budget information. -What is post's assessment of the extent to which the publicly-available budget accurately reflects actual government incomes and expenditures? -Answer: The publicly-available budget accurately reflects actual government incomes and expenditures to the best of our knowledge. Transparency of government budgeting and spending remains an issue for the Libyan government, which is reputed to suffer from corruption and inefficiency. STEVENS
06BRASILIA875	2006	2011	CONFIDENTIAL	Embassy Brasilia	BRAZIL - SUSPENSION OF TITLE III OF THE LIBERTAD ACT 
10AMMAN302	2010	2011	SECRET//NOFORN	Embassy Amman	JORDAN: IAF ISSUES STRONG FATWA AGAINST EGYPTIAN 
09STATE14577	2009	2010	SECRET	Secretary of State	ACTION REQUEST: RUSSIA S-300 MISSILE TO IRAN 
09LONDON2680	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	DPRK: AMB BOSWORTH'S DEC 2 MEETINGS WITH UK 
09EFTOLONDON2858	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	UK RESPONSE: APPROACH TO 2010 NPT REVIEW CONFERENCE REF: SECSTATE 126209
07BRASILIA1715	2007	2011	CONFIDENTIAL	Embassy Brasilia	x
07LAPAZ597	2007	2010	CONFIDENTIAL	Embassy La Paz	MORALES TO TOBIAS: THANKS FOR THE ASSISTANCE 
07PARIS1844	2007	2010	CONFIDENTIAL	Embassy Paris	ENGAGING THE NEW FRENCH GOVERNMENT ON FOREIGN 
07MADRID545	2007	2010	CONFIDENTIAL	Embassy Madrid	SPAIN/CUBA: FM MORATINOS PLANNING TO VISIT HAVANA
10TEGUCIGALPA2	2010	2011	CONFIDENTIAL//NOFORN	Embassy Tegucigalpa	AMBASSADOR AND PRESIDENT-ELECT LOBO DISCUSS NEED
07PARIS3956	2007	2010	CONFIDENTIAL	Embassy Paris	KOUCHNER EXPECTED TO MEET IRANIAN COUNTERPART AT 
09STATE122115	2009	2010	SECRET//NOFORN	Secretary of State	KENYA'S CONVENTIONAL ARMS END-USER CERTIFICATE
09STATE72112	2009	2010	SECRET	Secretary of State	(S) ELICITING YEMENI COOPERATION FOR ARMS 
08MADRID98	2008	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Madrid	CODEL MARTINEZ JANUARY 10-11 VISIT TO MADRID
09ABUDHABI874	2009	2010	SECRET	Embassy Abu Dhabi	C-SA9-01527: PAKISTANI AND AFGHAN EXPATRIATE TIES TO
10ATHENS57	2010	2011	CONFIDENTIAL//NOFORN	Embassy Athens	x
08TRIPOLI919	2008	2011	CONFIDENTIAL	Embassy Tripoli	NEA/MAG DIRECTOR DISCUSSES HUMAN RIGHTS AND LIFG NEGOTIATIONS WITH QADHAFI DEVELOPMENT FOUNDATION  REF: A) TRIPOLI 819, B) TRIPOLI 472, C) TRIPOLI 280, D) TRIPOLI 577  
09CARACAS1417	2009	2010	CONFIDENTIAL	Embassy Caracas	CHARGING OPPOSITION LEADERS AS SPIES,
09UNVIEVIENNA218	2009	2011	SECRET	UNVIE	IAEA/EGYPT: SAFEGUARDS IMPLEMENTATION REPORT CITES 
08LONDON2829	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	HMG ACCUSED OF SEEING NO BLAME, HEARING NO BLAME, AND 
05THEHAGUE2064	2005	2011	CONFIDENTIAL	Embassy The Hague	NETHERLANDS: DUTCH THINKING ON ISAF III; FUTURE OF 
06KUWAIT3201	2006	2011	UNCLASSIFIED	Embassy Kuwait	KUWAIT GRANTS COUNTRY CLEARANCE FOR CODEL BUYER(14-21AUG) 
08TUNIS679	2008	2010	SECRET	Embassy Tunis	CORRUPTION IN TUNISIA: WHAT'S YOURS IS MINE 
09BERLIN1197	2009	2010	CONFIDENTIAL	Embassy Berlin	WESTERWELLE'S SURGE CLINCHES BLACK-YELLOW IN 
07KAMPALA1752	2007	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Kampala	x
08LONDON3062	2008	2011	SECRET	Embassy London	PAKISTAN: LYALL GRANT AND BOUCHER AGREE ON 
10STATE17307	2010	2010	SECRET	Secretary of State	DEMARCHE ON TRANSFER OF BALLISTIC MISSILES TO
09BEIJING2438	2009	2010	CONFIDENTIAL	Embassy Beijing	PRC/IRAN: SCHOLAR SUGGESTS U.S. NEGOTIATE SE 
09RIYADH716	2009	2010	CONFIDENTIAL	Embassy Riyadh	SAUDI INTERIOR MINISTRY BRIEFS SPECIAL ADVISOR
09BRASILIA1428	2009	2011	UNCLASSIFIED	Embassy Brasilia	USAID/Brazil and Brazil's Agency for Cooperation Visit Haiti to Advance Trilateral Cooperation 
09RIYADH447	2009	2010	SECRET	Embassy Riyadh	COUNTERTERRORISM ADVISER BRENNAN?S MEETING WITH 
09BRASILIA282	2009	2011	UNCLASSIFIED	Embassy Brasilia	BRAZIL: OFFICIALS DISCUSS CUBA, BOLIVIA, ENERGY COOPERATION WITH STAFFDEL LEWIS 
08ISLAMABAD525	2008	2010	SECRET	Embassy Islamabad	SCENESETTER FOR CJCS ADMIRAL MULLEN 
09SANAA2070	2009	2010	SECRET//NOFORN	Embassy Sanaa	SAUDI STRIKES IN YEMEN: AN INVITATION TO IRAN --
10DAMASCUS8	2010	2010	SECRET	Embassy Damascus	CODEL GREGG'S DECEMBER 30 MEETING WITH PRESIDENT 
08LONDON1886	2008	2011	CONFIDENTIAL//NOFORN	Embassy London	UK'S LIBERAL DEMOCRATS: LOOKING FOR INFLUENCE NOT 
05BRASILIA1578	2005	2011	CONFIDENTIAL	Embassy Brasilia	BRAZIL: SENIOR GOB OFFICIALS DISCUSS HAITI WITH AMBASSADOR AND WHA DAS FISK 
10CAIRO108	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Cairo	CAIRO REQUEST FOR LEAHY HUMAN RIGHTS VETTING - 99423 THRU 
05THEHAGUE3069	2005	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy The Hague	ONE YEAR AFTER MURDER OF THEO VAN GOGH
07BOGOTA8384	2007	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Bogota	PRESIDENT URIBE SPEAKS TO REID DELEGATION ON TPA,
08MOSCOW2632	2008	2010	CONFIDENTIAL	Embassy Moscow	XXXXXXXXXXX 
09BEIJING22	2009	2010	CONFIDENTIAL	Embassy Beijing	LOOKING AT THE NEXT 30 YEARS OF THE U.S.-CHINA 
06REYKJAVIK120	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND REACTION: OPTIMISTIC TONE FOLLOWING MARCH 
04BRASILIA2513	2004	2010	CONFIDENTIAL	Embassy Brasilia	AMBASSADOR'S CALL ON PRESIDENCY CHIEF OF STAFF DIRCEU, 1 OCTOBER 2004 
10TRIPOLI72	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	LIBYA REQUESTS FLIGHT CLEARANCE FOR RELIEF SUPPLIES TO HAITI REF: STATE 6918
04WELLINGTON605	2004	2010	CONFIDENTIAL	Embassy Wellington	NEW ZEALAND IMPOSES ?STRICT CONSTRAINTS? ON 
09TRIPOLI410	2009	2011	CONFIDENTIAL	Embassy Tripoli	CHAD AMBASSADOR: LIBYA CAN DO NOTHING IF SUDAN UNWILLING TO 
06SAOPAULO907	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Consulate Sao Paulo	PMDB LEADER PREDICTS NARROW LULA VICTORY, AND A GROWTH-BASED ECONOMIC POLICY IN THE SECOND TERM 
04MADRID2937	2004	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Madrid	SPAIN MEGAPORTS MOA SIGNING AWAITING LEGAL COUNSEL
09MADRID604	2009	2010	SECRET//NOFORN	Embassy Madrid	SPAIN: S/GC DAN FRIED ...
05BRASILIA715	2005	2011	SECRET	Embassy Brasilia	x
07MADRID2265	2007	2010	CONFIDENTIAL	Embassy Madrid	POLITICAL STRATEGIES DEVELOP FOR MARCH GENERAL
09TRIPOLI34	2009	2011	CONFIDENTIAL	Embassy Tripoli	UN ORGANIZES HUMAN RIGHTS CONTACT GROUP WITH KEY LIBYAN 
10BELGRADE19	2010	2010	SECRET	Embassy Belgrade	Serbia: Ambassador's First Meeting with President Tadic 
05BRASILIA1278	2005	2011	CONFIDENTIAL	Embassy Brasilia	ARAB-SOUTH AMERICA SUMMIT - A NEGATIVE BALANCE FOR THE GOB 
09TEGUCIGALPA431	2009	2011	CONFIDENTIAL//NOFORN	Embassy Tegucigalpa	ZELAYA SHARES DETAILS ON OAS CUBA RESOLUTION
09CAIRO858	2009	2011	CONFIDENTIAL	Embassy Cairo	FIRST VISIT OF A UN SPECIAL RAPPORTEUR TO EGYPT 
10BRASILIA53	2010	2011	CONFIDENTIAL	Embassy Brasilia	BRAZIL: UPDATE ON EFFORTS AND FUTURE PLANS IN HAITI 
07MADRID432	2007	2010	CONFIDENTIAL	Embassy Madrid	SPAIN/ETA: RELEASE OF PRISONER TRIGGERS POLITICAL
05MADRID3260	2005	2010	SECRET	Embassy Madrid	SPAIN: AN ACTIVE FRONT IN THE WAR ON TERROR
10STATE3573	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE - 99398 THRU 99422 
07REYKJAVIK144	2007	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND WILL SUPPORT BOWHEAD WHALE QUOTA IF IWC SCIENCE 
09TRIPOLI953	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	LIBYA REQUESTS US SUPPORT FOR POSITION ON UN HUMAN RIGHTS COUNCIL
08LONDON2282	2008	2011	CONFIDENTIAL	Embassy London	A MIXED UK RESPONSE TO UNGA THIRD COMMITTEE DEMARCHE REF: A. STATE 95334 B. STATE 61034 C. PARIS 1446 
06THEHAGUE1510	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy The Hague	NETHERLANDS: NARCOTICS CERTIFICATION UPDATE 
10CAIRO179	2010	2011	SECRET//NOFORN	Embassy Cairo	SCENESETTER FOR FBI DIRECTOR MUELLER 
09ASMARA47	2009	2010	SECRET	Embassy Asmara	AN ERITREAN OVERTURE TO THE UNITED STATES 
09LONDON1942	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	LIBERAL DEMOCRATS PREPARE FOR CONFERENCE, LOOK TO 
10TRIPOLI112	2010	2011	CONFIDENTIAL	Embassy Tripoli	x
08TRIPOLI563	2008	2011	CONFIDENTIAL	Embassy Tripoli	OXY'S 30-YEAR EXTENSION IN LIBYA AND WHAT LIES AHEAD FOR OTHER IOCS  REF: A) TRIPOLI 555  B) 2007 TRIPOLI 983  TRIPOLI 00000563  001.2 OF 003   
09CARACAS982	2009	2010	CONFIDENTIAL	Embassy Caracas	CHAVEZ DETERMINED TO ACCELERATE HIS REVOLUTION
02BRASILIA4227	2002	2010	CONFIDENTIAL	Embassy Brasilia	x
08ASTANA338	2008	2010	CONFIDENTIAL	Embassy Astana	CHEVRON INCIDENT REFLECTS CHANGING DYNAMICS IN 
10RIYADH123	2010	2010	CONFIDENTIAL	Embassy Riyadh	CHINESE FM YANG VISITS RIYADH 
10CAIRO344	2010	2011	UNCLASSIFIED	Embassy Cairo	ILLEGAL ADOPTIONS IN EGYPT 
09TRIPOLI946	2009	2011	CONFIDENTIAL	Embassy Tripoli	LIBYAN RESPONSE TO POTUS AFGHANISTAN/PAKISTAN STRATEGY REF: State 122731 
09STOCKHOLM787	2009	2010	CONFIDENTIAL	Embassy Stockholm	SWEDEN'S PROGRAM OF PREVENTING ISLAMIST  RADICALIZATION AND EXTREMISM  
09BUENOSAIRES1235	2009	2010	CONFIDENTIAL//NOFORN	Embassy Buenos Aires	(C) ARGENTINA: CFK'S FIRST TWO CABINET CHIEFS SAY KIRCHNERS'
08REYKJAVIK225	2008	2011	CONFIDENTIAL	Embassy Reykjavik	ICELANDIC ECONOMIC CRISIS, TIME FOR USG TO GET INVOLVED? 
10REYKJAVIK28	2010	2011	UNCLASSIFIED	Embassy Reykjavik	DISTRACTED DRIVING DEMARCHE RESPONSE - ICELAND 
09REYKJAVIK176	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	TAX INCREASES AND FISCAL CUTS IN ICELAND'S 2010 BUDGET 
09LONDON2318	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	HMG PROPOSES U.S.-UK CONSULTATION REGARDING 
09CARACAS1181	2009	2010	CONFIDENTIAL	Embassy Caracas	THE CUBANS IN VENEZUELA'S PORTS 
10JERUSALEM276	2010	2011	SECRET	Consulate Jerusalem	x
